ID,Author,Comment,Sentimiento,Emoción Dominante
231,@flacogab,mira el violín la gavilla que tenia atroilo dogor jajajajaja aguante zin tv noma,positivo,felicidad
232,@joseluispisano2155,una persona señor presidente no le cree a joven hasta de supaartido usted es presidente no es abogado defensor pq las otras  persona y que creen enpenades pr favor que esta jueza siga investigando lq tapo todo lq tapo fossati,negativo,indignación
233,@jbjb618,mamá que gobierno y las focas aplauden,negativo,indignación
234,@moro2120,funesto,negativo,asco
235,@ml2082,repito presos,negativo,enojo
236,@TerminalBreaking,vaca yendo gente al baile,neutral,otro tipo de emociones
237,@gimenaponte4566,estos q hablarón tambien presos,negativo,enojo
238,@esthersanterciel,hay que ponerle una lapida a este gobierno que diga pasaron por el gobierno corropieron y ensuciaron la democracia del uruguayque jamas regresendespues del dia de ayer partido nacional qepd,negativo,indignación
239,@wgmg4168,buenas noches va a pasar el gordito,neutral,otro tipo de emociones
240,@marcosrosa2567,el violín,negativo,asco
241,@ml2082,renunciaheber,negativo,enojo
242,@washingtonrafaellarrude9573,días parece que el tipejo sigue con la sombra de los fueros,negativo,indignación
243,,se terminó el recreo,negativo,indignación
244,@sergiogutierrez4636,le descargaron el código penal y le dieron  meses qué verguenza la justicia uruguaya,negativo,indignación
245,@gervasiolembo4028,sus votantes cómo duermen,negativo,indignación
246,@AdrianHernandez-tj6jx,preso,negativo,enojo
247,@mathiasdeleon3709,díases joda,negativo,indignación
248,@cristianfabianpereyramaida1127,cínicos,negativo,asco
249,@federicolaureiro3001,pa dentro,negativo,enojo
250,@pablogarcia-yi3uw,mentira el qukito sabía todo igual q heber,negativo,indignación
251,@MARCELO-BCN,que lo pongan a compartir celda con roque barla ex edil en salto por el frentepitcntamplio hoy cumpliendo pena de prisión por abusar de su propia nieta de tres añitos,negativo,indignación
252,@matiaspelaez8416,luego te tiran yo no los vote,negativo,ironía
253,@mariososa8578,eto e un granito de arena delo grande que es el abuso a menores,negativo,tristeza
254,@MISSLALEITO,dias,neutral,otro tipo de emociones
255,@andreavitacca6035,a este gobierno no lo votan más con este caso más otros demuestra que este gobierno fue lo peor del siglo xxi,negativo,indignación
256,@paulasasso5934,días lamentable,negativo,tristeza
257,@SiuLoong,dime con quien andas y te dire quien eres,neutral,otro tipo de emociones
258,@danielumpierrez3762,tiene más delitos que días de cárcel soy yo y me están dando mazorca los próximos años,negativo,ironía
259,@monicag.0210,buenode a poco todo se va encaminadoa la presidencia del fa,positivo,conformidad
260,@eduardojoserodriguezlazo1459,y después hablamos de la mafia siciliana jeje,negativo,ironía
261,@martindeleon6062,pa troden,negativo,enojo
262,@perlaindigo9849,dias nooooooooo,negativo,indignación
263,@user-mk2dh7cw3m,los sacerdotes qué abusaron las mujeres no abusan,negativo,indignación
264,@levingtondebrun8007,lo vengo diciendo hace años al menos en un país medianamente serio medianamente le harían censura al gobierno destitución y llamado a elecciones anticipadas pero como no estamos en una democracia de verdad no sucedió ni sucederá los políticos quieren dar una imagenfalsa de democracia seria hablo de todos los políticos izquierda y derecha,negativo,indignación
265,@37style,solo días,negativo,tristeza
266,@sebastiantourn3075,yaaa,neutral,otro tipo de emociones
267,@user-mk2dh7cw3m,con la ley no adelanta si es verdad o es mentira esta preso por una denuncia falsa y san se acabo,negativo,indignación
268,@luiscasas8707,ratas les queda poco,negativo,asco
269,@wdmiranda,presos,negativo,indignación
270,@beatrizlibby5476,si este y slguno frentachos tambien,negativo,indignación
271,@silviamachado9889,joder con los s blsncostiene todos lis delutos en dus gilafy cusndo figontodo es todo,negativo,indignación
272,@ricardooneil5194,heber andate,negativo,enojo
273,@Homeropiratas,que valiente la fiscal cómo se llama,positivo,conformidad
